,"Частота, Гц","Амплитуда, g"
0,,
1,122.0,1.7251024061
2,129.4,1.8680289013
3,131.0,1.9937826266999998
4,131.9,1.7403853319
5,135.1,1.924618456
6,141.3,1.5108412196
7,149.6,1.6395006774999998
8,154.7,1.82225092947
9,162.1,1.53161302055
10,169.4,1.7511968662000001
11,172.3,1.5931764360999998
12,175.7,1.6871320157
13,180.6,2.0427325953
14,184.6,2.2409004515
15,187.7,2.2760617833
16,188.0,2.2326398998999997
17,190.9,2.6431168892
18,192.9,2.3256108463
19,193.6,2.1520827607
20,194.3,2.3340922671
21,196.0,2.2638597329
22,197.8,2.6721465481999997
23,200.0,2.6315169385
24,200.9,2.6953065973999997
25,202.6,2.4979768802
26,204.6,2.47654361
27,207.8,2.61489341399
28,211.1,2.9107622678
29,214.7,2.5202514891099996
30,215.4,2.6656756657
31,216.2,2.7344527223
32,217.1,2.9951064959
33,218.6,3.4160796935999995
34,219.7,2.8324257897
35,221.1,3.8311901088
36,222.2,2.8833890487000002
37,223.0,3.2048762089
38,224.0,2.8182128317
39,225.2,3.429079642
40,225.0,2.9677545157000003
41,225.5,3.0885254721999997
42,227.0,3.0653110029
43,227.9,2.8984936515
44,228.4,3.3047914299
45,228.2,3.0924083596
46,229.3,2.9065530658
47,230.5,3.2764310588499996
48,230.8,2.8653858804
49,231.6,3.2175234495
50,232.1,2.9286060859
51,233.0,3.7130466591999998
52,234.0,3.4860023965000004
53,234.0,3.2313393158000006
54,234.5,4.0194992055
55,235.7,3.5518838539
56,235.5,3.1376624773
57,236.6,3.51053922079
58,237.5,3.9484315664999996
59,238.2,3.1361781757
60,239.0,3.8309166093
61,239.1,3.522739715
62,239.8,3.2125122746000003
63,240.2,3.6600758377999996
64,241.1,3.6000231363
65,241.2,3.4754221756
66,241.8,3.8019120889
67,242.8,3.5694825686000002
68,243.4,3.4583385720999997
69,244.9,4.126356416
70,245.7,3.1551874107
71,246.1,3.7426042273
72,247.1,3.8557260576000005
73,247.4,3.5226238833000005
74,248.0,3.4561812189000003
75,248.0,4.0376771474
76,248.0,3.694656474
77,247.5,3.7377328456999996
78,248.2,4.0500602923999995
79,248.9,3.6072244951
80,248.5,3.70204118359
81,248.6,3.5794201473999996
82,249.0,3.8908507463
83,249.2,3.8637866291000003
84,249.2,3.6551061392
85,249.7,3.5789897876
86,250.2,3.5898311962999996
87,250.0,3.9738267572
88,250.6,3.4577519445999996
89,250.5,3.9550425148
90,251.0,3.5829080147
91,251.1,4.2200225378
92,251.0,3.7978204495999996
93,251.4,3.4583425591
94,251.6,3.4674408610599996
95,252.6,4.0335893689
96,253.0,3.6345734799
97,253.3,3.7287696503
98,253.8,3.5124409774
99,254.0,4.046145624199999
100,254.0,3.4747216517
