Absolute Time Status	N/A			
Absolute Time Source	PC			
Absolute Time	2024-01-19 15:05:20 ms 215.734			
Socket ID	2009511028:P7			
Frontend serial number	0047093506			
Module serial number	2009511028			
Module ID	M1			
Position ID	P7			
HW Range	0.316 V			
User Range	0.316 V			
PhysicalChannelId	Input7			
Channel group	Group 1			
Channelgroup	Vibration			
HW Offset	0 mV			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	5.36542 mV/g			
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	9			
Channel name	C7			
DOF id	Point7			
Point direction sign				
Point direction absolute	None			
Point direction	None			
Point id node	Point7			
Point id component				
Point id	Point7			
Zero compensation	0 g			
Lower Limit EU	-58.8957 g			
Upper Limit EU	58.8957 g			
Function class	Time			
Weighting	Linear			
Modified	Fri Jan 19 2024 18:05:21			
Created	Fri Jan 19 2024 18:05:21			
Span	400 Hz			
Bandwidth	512 Hz			
Sample frequency	1024 Hz			
X axis increment	0.000976563 s			
X axis	0.00034361-8.06968 s			
X axis quantity	Time			
X axis unit	s			
Number of lines	8263			
Value type	Real			
Range	8.03095 g			
Max value	3.85985 g			
Min value	-4.17109 g			
Y axis quantity	Acceleration			
Y axis unit	g			
          3.436097991e-04	         -3.071973140e+00			
          1.320172299e-03	         -2.161232185e+00			
          2.296734799e-03	          1.053019516e+00			
          3.273297299e-03	          3.120020014e+00			
          4.249859799e-03	          1.951236507e+00			
          5.226422299e-03	         -1.002779870e+00			
          6.202984799e-03	         -3.202094397e+00			
          7.179547299e-03	         -1.946592143e+00			
          8.156109799e-03	          1.394351462e+00			
          9.132672299e-03	          3.245604748e+00			
          1.010923480e-02	          1.736668359e+00			
          1.108579730e-02	         -1.390239116e+00			
          1.206235980e-02	         -3.377329245e+00			
          1.303892230e-02	         -1.691698556e+00			
          1.401548480e-02	          1.755382411e+00			
          1.499204730e-02	          3.205293688e+00			
          1.596860980e-02	          1.203616232e+00			
          1.694517230e-02	         -2.126802068e+00			
          1.792173480e-02	         -3.358083176e+00			
          1.889829730e-02	         -6.753306879e-01			
          1.987485980e-02	          2.656446411e+00			
          2.085142230e-02	          3.038269154e+00			
          2.182798480e-02	          2.635352662e-01			
          2.280454730e-02	         -2.926373069e+00			
          2.378110980e-02	         -2.975721227e+00			
          2.475767230e-02	          4.691166427e-01			
          2.573423480e-02	          3.194092576e+00			
          2.671079730e-02	          2.307119833e+00			
          2.768735980e-02	         -1.149868151e+00			
          2.866392230e-02	         -3.560810354e+00			
          2.964048480e-02	         -1.717328828e+00			
          3.061704730e-02	          2.063039129e+00			
          3.159360980e-02	          3.379500449e+00			
          3.257017230e-02	          9.140408975e-01			
          3.354673480e-02	         -2.658768593e+00			
          3.452329730e-02	         -3.301042342e+00			
          3.549985980e-02	          9.536761530e-02			
          3.647642230e-02	          3.183689490e+00			
          3.745298480e-02	          2.547224790e+00			
          3.842954730e-02	         -1.043126878e+00			
          3.940610980e-02	         -3.659909276e+00			
          4.038267230e-02	         -1.691123403e+00			
          4.135923480e-02	          2.265198343e+00			
          4.233579730e-02	          3.411687468e+00			
          4.331235980e-02	          6.194329714e-01			
          4.428892230e-02	         -3.025443234e+00			
          4.526548480e-02	         -3.073339130e+00			
          4.624204730e-02	          7.657447950e-01			
          4.721860980e-02	          3.426159764e+00			
          4.819517230e-02	          2.041528394e+00			
          4.917173480e-02	         -1.927777439e+00			
          5.014829730e-02	         -3.706856169e+00			
          5.112485980e-02	         -6.840226930e-01			
          5.210142230e-02	          3.011617985e+00			
          5.307798480e-02	          2.968567757e+00			
          5.405454730e-02	         -6.546826825e-01			
          5.503110980e-02	         -3.692678639e+00			
          5.600767230e-02	         -1.952458708e+00			
          5.698423480e-02	          2.195568840e+00			
          5.796079730e-02	          3.447605795e+00			
          5.893735980e-02	          5.405722574e-01			
          5.991392230e-02	         -3.301164562e+00			
          6.089048480e-02	         -2.888549547e+00			
          6.186704730e-02	          1.275330665e+00			
          6.284360980e-02	          3.586088344e+00			
          6.382017230e-02	          1.502106443e+00			
          6.479673480e-02	         -2.674153945e+00			
          6.577329730e-02	         -3.473049141e+00			
          6.674985980e-02	          3.733176624e-01			
          6.772642230e-02	          3.480979068e+00			
          6.870298480e-02	          2.265615329e+00			
          6.967954730e-02	         -1.976341951e+00			
          7.065610980e-02	         -3.783833256e+00			
          7.163267230e-02	         -4.695551971e-01			
          7.260923480e-02	          3.244921754e+00			
          7.358579730e-02	          2.781225931e+00			
          7.456235980e-02	         -1.289127156e+00			
          7.553892230e-02	         -3.898849547e+00			
          7.651548480e-02	         -1.125805173e+00			
          7.749204730e-02	          2.937250657e+00			
          7.846860980e-02	          3.172603409e+00			
          7.944517230e-02	         -6.947636818e-01			
          8.042173480e-02	         -3.889841208e+00			
          8.139829730e-02	         -1.682100685e+00			
          8.237485980e-02	          2.613805980e+00			
          8.335142230e-02	          3.382721307e+00			
          8.432798480e-02	         -2.266176104e-01			
          8.530454730e-02	         -3.817860766e+00			
          8.628110980e-02	         -2.088863515e+00			
          8.725767230e-02	          2.329946232e+00			
          8.823423480e-02	          3.530082786e+00			
          8.921079730e-02	          1.705545373e-01			
          9.018735980e-02	         -3.730459024e+00			
          9.116392230e-02	         -2.373506909e+00			
          9.214048480e-02	          2.105025324e+00			
          9.311704730e-02	          3.636033223e+00			
          9.409360980e-02	          4.184815794e-01			
          9.507017230e-02	         -3.636191390e+00			
          9.604673480e-02	         -2.568807419e+00			
          9.702329730e-02	          1.963667009e+00			
          9.799985980e-02	          3.666775169e+00			
          9.897642230e-02	          6.062188232e-01			
          9.995298480e-02	         -3.594176438e+00			
