Absolute Time Status	N/A			
          5.171831313e-02	          9.561924489e-03			
          5.269487563e-02	          1.006518367e-02			
          5.367143813e-02	          7.045628571e-03			
          5.464800063e-02	          7.376341748e-03			
          5.562456313e-02	          4.479006734e-03			
          5.660112563e-02	          2.645705422e-03			
          5.757768813e-02	          3.012365685e-03			
          5.855425063e-02	          1.437883382e-03			
          5.953081313e-02	          2.120877988e-03			
          6.050737563e-02	          2.056173236e-03			
          6.148393813e-02	          1.394746880e-03			
          6.246050063e-02	          2.918903265e-03			
          6.343706313e-02	          3.012365685e-03			
          6.441362563e-02	          3.414973032e-03			
          6.539018813e-02	          4.536522069e-03			
          6.636675063e-02	          6.132572623e-03			
          6.734331313e-02	          6.506422302e-03			
          6.831987563e-02	          7.685486676e-03			
          6.929643813e-02	          7.577645422e-03			
          7.027300063e-02	          7.009681486e-03			
          7.124956313e-02	          7.153469824e-03			
          7.222612563e-02	          6.412959883e-03			
          7.320268813e-02	          3.184911691e-03			
          7.417925063e-02	          4.169861807e-03			
          7.515581313e-02	          3.652223790e-03			
          7.613237563e-02	          4.694689241e-03			
          7.710893813e-02	          5.420820349e-03			
          7.808550063e-02	          5.011023585e-03			
          7.906206313e-02	          3.472488367e-03			
          8.003862563e-02	          2.811062011e-03			
          8.101518813e-02	          3.307131778e-03			
          8.199175063e-02	          2.983608017e-03			
          8.296831313e-02	          3.709739125e-03			
          8.394487563e-02	          3.882285131e-03			
          8.492143813e-02	          7.311636996e-03			
          8.589800063e-02	          7.476993585e-03			
          8.687456313e-02	          8.842982798e-03			
          8.785112563e-02	          8.958013468e-03			
          8.882768813e-02	          8.138419941e-03			
          8.980425063e-02	          9.561924489e-03			
          9.078081313e-02	          9.295916063e-03			
          9.175737563e-02	          9.849501165e-03			
          9.273393813e-02	          9.396567900e-03			
          9.371050063e-02	          7.714244343e-03			
          9.468706313e-02	          7.850843264e-03			
          9.566362563e-02	          7.340394664e-03			
          9.664018813e-02	          5.090107171e-03			
          9.761675063e-02	          5.348926180e-03			
          9.859331313e-02	          5.082917755e-03			
          9.956987563e-02	          5.463956851e-03			
          1.005464381e-01	          6.319497463e-03			
          1.015230006e-01	          6.204466792e-03			
          1.024995631e-01	          5.485525101e-03			
          1.034761256e-01	          5.363305014e-03			
          1.044526881e-01	          5.801859445e-03			
          1.054292506e-01	          5.298600262e-03			
          1.064058131e-01	          4.622795072e-03			
          1.073823756e-01	          7.009681486e-03			
          1.083589381e-01	          6.420149300e-03			
          1.093355006e-01	          6.470475218e-03			
          1.103120631e-01	          4.809719912e-03			
          1.112886256e-01	          4.622795072e-03			
          1.122651881e-01	          5.428009766e-03			
          1.132417506e-01	          3.716928542e-03			
          1.142183131e-01	          4.507764402e-03			
          1.151948756e-01	          3.105828105e-03			
          1.161714381e-01	          3.609087288e-03			
          1.171480006e-01	          2.997986851e-03			
          1.181245631e-01	          4.392733731e-03			
          1.191011256e-01	          4.536522069e-03			
          1.200776881e-01	          5.363305014e-03			
          1.210542506e-01	          4.105157055e-03			
          1.220308131e-01	          3.738496793e-03			
          1.230073756e-01	          3.867906297e-03			
          1.239839381e-01	          3.321510612e-03			
          1.249605006e-01	          4.407112565e-03			
          1.259370631e-01	          5.873753614e-03			
          1.269136256e-01	          7.045628571e-03			
          1.278901881e-01	          7.973063352e-03			
          1.288667506e-01	          6.952166151e-03			
          1.298433131e-01	          6.535179970e-03			
          1.308198756e-01	          7.872411515e-03			
          1.317964381e-01	          4.637173906e-03			
          1.327730006e-01	          3.803201545e-03			
          1.337495631e-01	          5.514282769e-03			
          1.347261256e-01	          3.019555102e-03			
          1.357026881e-01	          2.918903265e-03			
